location,sqft,bhk,bath,age,price
Mumbai,602,3,2,7,10340758
Mumbai,3271,5,4,18,49832508
Pune,622,1,1,7,6068151
Pune,2798,2,3,20,26329496
Kolhapur,1402,4,5,8,9456967
Nashik,3359,4,4,8,22995016
Nagpur,3627,3,2,2,22045141
Mumbai,1970,3,4,8,30259780
Solapur,2696,1,1,2,15256828
Thane,3897,5,5,18,48159714
Mumbai,687,2,2,2,11220149
Mumbai,2056,3,3,20,31042077
Nashik,2016,3,2,21,13678973
Mumbai,2995,2,3,23,43757851
Nashik,2393,4,4,29,16655044
Nagpur,3304,3,2,7,19905729
Aurangabad,2143,3,2,6,14147390
Aurangabad,1370,4,4,28,9527789
Solapur,1085,3,2,7,6903463
Thane,3559,5,5,28,44140239
Kolhapur,1982,2,1,16,12242304
Mumbai,3595,1,1,4,52175462
Nashik,3744,4,5,2,25807728
Kolhapur,2940,4,5,8,18940849
Pune,3286,1,2,28,30026126
Thane,3648,3,2,9,44176542
Nashik,2358,1,2,28,15534319
Thane,2550,2,3,29,30347789
Thane,3947,5,5,6,49048031
Aurangabad,3623,2,3,30,22782583
Pune,2953,3,3,0,28200950
Aurangabad,3906,3,2,1,24934086
Mumbai,850,4,3,24,14302291
Nashik,1025,4,5,5,8026466
Kolhapur,1367,5,5,22,9386521
Thane,2134,3,3,28,26173158
Solapur,995,2,1,2,5959129
Pune,2909,5,4,18,28319357
Pune,790,1,1,2,7453468
Aurangabad,790,5,4,8,6482487
Solapur,1377,5,4,23,8816566
Solapur,1495,4,4,6,9222828
Mumbai,3199,4,4,13,48412235
Solapur,3486,1,2,20,19526434
Mumbai,748,4,5,10,13523688
Nagpur,1284,2,3,14,7915895
Kolhapur,1251,3,3,7,8189903
Solapur,3809,5,4,1,22576386
Pune,882,2,1,13,8647815
Solapur,1375,4,3,5,8636816
Pune,2099,3,3,9,20403677
Solapur,1134,2,2,6,6614512
Pune,3563,3,2,1,33838577
Solapur,2559,5,4,1,15594473
Mumbai,3987,2,1,19,57542731
Nagpur,2153,1,2,7,13009070
Pune,3036,1,1,21,27782612
Aurangabad,1568,2,3,22,10093622
Nagpur,1587,4,3,21,10308878
Thane,2372,3,2,0,29502673
Mumbai,800,5,4,16,14481041
Nashik,1929,1,1,11,12672915
Nashik,2294,5,5,9,16646695
Pune,3235,5,5,29,31427305
Mumbai,1050,3,2,28,16037117
Nashik,1615,3,4,6,11733735
Aurangabad,1333,3,4,15,9041684
Pune,878,4,4,1,9730658
Aurangabad,3658,2,3,8,23118865
Solapur,2759,4,5,0,16377129
Mumbai,3330,2,3,1,49339575
Nashik,2260,2,1,9,15146182
Pune,1965,2,3,7,19004165
Mumbai,1948,5,5,19,31272342
Nashik,1469,2,1,28,9744661
Pune,1234,3,3,25,12325624
Nagpur,1592,2,3,3,9993262
Pune,2427,2,1,26,22421031
Aurangabad,1750,2,1,0,11522297
Nagpur,2132,3,3,27,12889096
Thane,1938,5,5,21,25338731
Aurangabad,613,1,1,5,4150921
Thane,656,1,2,13,8115439
Aurangabad,2287,5,5,3,15743928
Nagpur,1543,1,2,13,9056936
Nagpur,1991,4,3,30,12560601
Aurangabad,3052,3,4,27,19419189
Thane,2577,3,4,13,31840913
Kolhapur,3355,3,4,4,20966279
Kolhapur,3223,4,5,23,20227380
Thane,2163,5,4,9,27984525
Nagpur,2260,5,5,20,14494951
Solapur,2309,4,5,6,14023727
Solapur,3751,2,3,2,21327560
Aurangabad,882,2,3,9,5995876
Nagpur,1103,1,1,7,6722158
Mumbai,2365,4,5,18,36427440
Kolhapur,2524,4,3,4,16378283
Pune,3575,1,1,7,32767714
Solapur,705,5,4,29,4791501
Solapur,1046,4,5,16,6943187
Aurangabad,3593,4,5,26,23418381
Kolhapur,3902,5,5,28,24441004
Solapur,2343,3,2,26,13555393
Thane,3636,5,5,20,45076633
Thane,2301,1,2,9,27411642
Thane,1875,3,4,2,23826047
Nashik,1447,4,5,4,11015867
Nagpur,763,4,4,10,5673034
Solapur,2203,1,1,26,12157851
Kolhapur,3653,5,5,0,23556767
Kolhapur,2453,1,1,9,15061777
Kolhapur,3995,4,5,23,25137859
Nagpur,2499,2,2,13,15128266
Pune,2092,3,4,21,20218178
Nashik,3942,4,3,19,26718034
Pune,2113,5,5,21,21051509
Mumbai,3132,4,3,27,46798662
Nashik,705,3,3,10,5393470
Solapur,1838,3,3,8,11139719
Kolhapur,1533,1,1,0,9682044
Pune,1933,2,3,2,18810007
Pune,3589,1,1,6,32834583
Nashik,1477,2,2,21,9845473
Nagpur,2404,3,3,5,15058562
Mumbai,3685,2,2,3,54239897
Pune,1777,5,5,29,18008468
Kolhapur,3428,2,1,18,20965120
Nagpur,917,3,4,19,6006417
Pune,1922,5,5,21,19493485
Mumbai,2572,3,2,27,37998831
Solapur,932,4,4,20,6125335
Nashik,2283,2,3,16,15540527
Thane,3022,5,5,14,38157766
Thane,1820,2,1,8,22194350
Nagpur,3573,4,5,19,22145873
Kolhapur,1877,1,1,27,11144261
Nashik,2497,2,2,25,16490951
Aurangabad,1645,5,5,28,11366219
Pune,2616,2,1,7,24676126
Kolhapur,2501,5,4,22,16219989
Solapur,2335,1,1,9,12999805
Kolhapur,3333,2,2,21,20390442
Aurangabad,2438,5,5,11,16583486
Aurangabad,1941,4,4,9,13119232
Nagpur,994,2,2,3,6593883
Nashik,1284,2,3,15,8865965
Thane,911,2,2,7,11718905
Nashik,1738,1,2,17,11358365
Thane,686,1,2,9,8758847
Nashik,3112,4,3,27,20929430
Thane,2422,4,4,10,30484059
Pune,1534,4,3,26,15067657
Kolhapur,2514,1,2,20,15331618
Pune,1121,2,3,30,10650397
Mumbai,1516,1,2,24,21894995
Nagpur,3677,5,5,14,22928563
Thane,2910,4,4,18,36206597
Pune,2997,1,1,20,27253337
Thane,3205,1,1,7,37830628
Mumbai,1141,1,1,14,16785729
Solapur,1692,1,1,9,9701698
Thane,3379,4,3,21,41229681
Thane,3726,5,5,25,45972914
Kolhapur,970,5,4,20,6920713
Thane,3885,2,1,1,46394491
Thane,2937,5,5,14,37000097
Solapur,3320,3,4,12,19110235
Solapur,2293,1,2,1,13065082
Aurangabad,2972,3,2,2,19146122
Pune,3632,3,4,1,34836702
Nashik,2427,5,5,14,17261334
Nashik,2897,4,5,26,19998305
Mumbai,2425,3,3,10,36625826
Mumbai,1158,3,3,22,18203168
Thane,3213,4,5,1,40303559
Mumbai,1788,3,3,3,27791304
Pune,3193,5,5,13,31061717
Nagpur,2623,3,4,24,16116903
Solapur,3612,1,1,8,20239749
Nashik,1679,4,5,15,12052162
Pune,3080,5,4,22,29759034
Thane,2756,1,2,13,32553068
Nagpur,3946,1,1,30,22855686
Nashik,2541,3,4,22,17279853
Kolhapur,3919,4,4,7,24666507
Nashik,2071,2,3,16,14212772
Nashik,785,3,3,10,6068700
Thane,3860,1,1,23,45127529
Solapur,1108,4,5,15,7186394
Aurangabad,2760,5,5,14,18474704
Nagpur,3356,2,3,12,20113053
Kolhapur,678,3,4,15,5075182
Kolhapur,2081,2,2,30,12493788
Nashik,2557,5,5,27,17818119
Solapur,908,5,5,0,6682968
Nashik,2179,2,1,15,14477448
Aurangabad,3052,4,5,2,20214862
Kolhapur,1797,4,5,1,12235986
Mumbai,1461,3,2,23,22070684
Kolhapur,903,1,1,5,5816796
Thane,618,1,1,25,7015022
Thane,1968,3,3,4,24735629
Kolhapur,2818,2,1,5,17176042
Kolhapur,3038,2,2,29,18516782
Nashik,1451,4,5,8,10852447
Thane,3231,1,1,28,37627501
Nashik,802,4,4,18,6299842
Kolhapur,3327,3,3,27,20447258
Nagpur,2075,4,3,7,13214194
Aurangabad,2854,3,4,9,18399202
Kolhapur,1624,1,2,27,9912476
Pune,2983,4,4,24,28521948
Aurangabad,1397,2,3,8,9427818
Nashik,3073,1,2,20,19945168
Thane,3730,4,3,18,45486292
Nashik,869,3,3,23,6371343
Nashik,1322,2,3,28,8964814
Thane,3901,2,2,29,46171327
Thane,3557,3,2,14,42788378
Nashik,3589,2,3,23,23937083
Kolhapur,3964,5,5,2,25293990
Pune,1583,5,4,14,16414544
Thane,2894,4,5,30,35744559
Mumbai,3264,2,2,0,48340020
Aurangabad,2998,2,3,2,19377284
Solapur,3371,3,4,13,19297696
Nashik,685,1,1,15,4438380
Mumbai,1461,5,4,12,24164139
Aurangabad,3246,5,5,18,21639212
Nashik,2199,1,1,19,14372470
Thane,634,3,2,14,8782948
Nagpur,1985,1,2,11,11954206
